"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.863648600E-2	-1.463211060E0	9.602396965E0	1.028913707E-1
5.703950700E-2	-1.456630826E0	9.634101868E0	1.094716340E-1
6.544252700E-2	-1.426122308E0	9.699904442E0	1.058823988E-1
7.384554800E-2	-1.403390527E0	9.736993790E0	9.332008660E-2
8.224856900E-2	-1.423729420E0	9.703494072E0	8.853443712E-2
9.065159000E-2	-1.436890006E0	9.670592308E0	6.221338734E-2
9.905461100E-2	-1.444068432E0	9.677172661E0	2.811566554E-2
1.074576320E-1	-1.420738459E0	9.675378799E0	3.589234129E-2
1.158606520E-1	-1.384247899E0	9.660423279E0	4.965107143E-2
1.242636730E-1	-1.371087432E0	9.671191216E0	1.854437590E-2
1.326666940E-1	-1.374676585E0	9.675976753E0	-7.178467698E-3
1.410697150E-1	-1.387837172E0	9.704092026E0	2.572284266E-2
1.494727360E-1	-1.384846091E0	9.709476471E0	4.725824669E-2
1.578757570E-1	-1.404586911E0	9.701101303E0	4.785645381E-2
1.662787770E-1	-1.411765337E0	9.680762291E0	4.606183618E-2
1.746817980E-1	-1.422533035E0	9.701101303E0	5.802594870E-2
1.830848190E-1	-1.445863128E0	9.691530228E0	5.682953820E-2
1.914878400E-1	-1.455434322E0	9.652647018E0	2.871387079E-2
1.998908610E-1	-1.445264935E0	9.637691498E0	4.426721856E-2
2.082938820E-1	-1.429113269E0	9.640682220E0	9.511470050E-2
2.166969020E-1	-1.434497118E0	9.685547829E0	1.489532143E-1
2.250999230E-1	-1.475175142E0	9.741181374E0	1.447657645E-1
2.335029440E-1	-1.532004714E0	9.725028992E0	1.274178028E-1
2.419059650E-1	-1.536790371E0	9.689735413E0	5.682953820E-2
2.503089860E-1	-1.508076429E0	9.659226418E0	4.666004330E-2
2.587120070E-1	-1.521237016E0	9.616754532E0	6.819544733E-2
2.671150270E-1	-1.529611826E0	9.571888924E0	4.127619043E-2
2.755180480E-1	-1.519442320E0	9.570692062E0	2.392822644E-3
2.839210690E-1	-1.481755376E0	9.641280174E0	4.785645287E-3
2.923240900E-1	-1.429113269E0	9.669994354E0	5.982056726E-3
3.007271110E-1	-1.396810174E0	9.650253296E0	1.734796353E-2
3.091301320E-1	-1.390229940E0	9.653842926E0	1.256231871E-2
3.175331520E-1	-1.437488198E0	9.671191216E0	3.529413417E-2
3.259361730E-1	-1.470389485E0	9.684351921E0	1.435693540E-2
3.343391940E-1	-1.476371527E0	9.701101303E0	-5.383851007E-3
3.427422150E-1	-1.490130305E0	9.677771568E0	-1.196411322E-3
3.511452360E-1	-1.496710539E0	9.661021233E0	-2.033899166E-2
3.595482570E-1	-1.490130305E0	9.625727654E0	-6.041877344E-2
3.679512770E-1	-1.439282775E0	9.626923561E0	-2.871387079E-2
3.763542980E-1	-1.402194023E0	9.667601585E0	5.982056726E-3
3.847573190E-1	-1.399203062E0	9.696315765E0	-6.580262445E-3
3.931603400E-1	-1.408774376E0	9.702297211E0	-3.589234129E-2
4.015633610E-1	-1.413560033E0	9.681958199E0	-4.725824669E-2
4.099663820E-1	-1.439282775E0	9.675378799E0	-7.836493850E-2
4.183694020E-1	-1.440479279E0	9.689735413E0	-1.226321608E-1
4.267724230E-1	-1.433898926E0	9.676574707E0	-1.495514214E-1
4.351754440E-1	-1.390828133E0	9.658030510E0	-1.022931710E-1
4.435784650E-1	-1.350748420E0	9.653842926E0	-4.007977992E-2
4.519814860E-1	-1.373480201E0	9.661021233E0	1.256231871E-2
4.603845070E-1	-1.444068432E0	9.654440880E0	2.811566554E-2
4.687875270E-1	-1.476969719E0	9.650852203E0	-2.273181453E-2
4.771905480E-1	-1.456032634E0	9.647860527E0	-2.512463741E-2
4.855935690E-1	-1.450050473E0	9.683753014E0	-4.426721856E-2
4.939965900E-1	-1.426720500E0	9.717850685E0	-6.999006122E-2
5.023996110E-1	-1.415354609E0	9.700503349E0	-6.041877344E-2
5.108026320E-1	-1.403390527E0	9.668798447E0	-3.768695518E-2
5.192056520E-1	-1.427318692E0	9.662816048E0	-2.632104978E-2
5.276086730E-1	-1.463809252E0	9.656235695E0	-5.503492057E-2
5.360116940E-1	-1.472184181E0	9.658628464E0	-3.170489892E-2
5.444147150E-1	-1.444068432E0	9.658030510E0	-1.495514158E-2
5.528177360E-1	-1.395015597E0	9.655637741E0	-4.127619043E-2
5.612207570E-1	-1.396211982E0	9.647860527E0	-7.238288224E-2
5.696237770E-1	-1.433300734E0	9.648459435E0	-6.520441920E-2
5.780267980E-1	-1.407577872E0	9.661619186E0	-8.913264424E-2
5.864298190E-1	-1.401595831E0	9.687940598E0	-4.426721856E-2
5.948328400E-1	-1.393221021E0	9.671191216E0	-8.075776696E-2
6.032358610E-1	-1.354935765E0	9.695717812E0	-9.451649338E-2
6.116388820E-1	-1.376471281E0	9.713065147E0	-6.281159073E-2
6.200419020E-1	-1.439880967E0	9.689735413E0	-5.503492057E-2
6.284449230E-1	-1.445264935E0	9.679565430E0	-7.178468257E-2
6.368479440E-1	-1.439282775E0	9.649655342E0	-7.956135273E-2
6.452509650E-1	-1.426720500E0	9.641280174E0	-6.400800496E-2
6.536539860E-1	-1.418345571E0	9.629316330E0	-6.400800496E-2
6.620570070E-1	-1.420738459E0	9.609575272E0	-3.888336942E-2
6.704600270E-1	-1.433300734E0	9.614959717E0	-1.196411345E-2
6.788630480E-1	-1.442273855E0	9.619745255E0	-3.768695518E-2
6.872660690E-1	-1.398006678E0	9.650852203E0	-7.657032460E-2
6.956690900E-1	-1.350748420E0	9.659825325E0	-6.580262631E-2
7.040721110E-1	-1.332802176E0	9.675378799E0	-6.041877344E-2
7.124751320E-1	-1.370489120E0	9.664012909E0	-5.802594870E-2
7.208781520E-1	-1.430907965E0	9.647262573E0	-9.332008660E-2
7.292811730E-1	-1.421934843E0	9.658628464E0	-8.494520187E-2
7.376841940E-1	-1.357926846E0	9.667601585E0	-5.682953820E-2
7.460872150E-1	-1.350748420E0	9.675976753E0	-3.589234129E-2
7.544902360E-1	-1.341775298E0	9.690931320E0	-4.247260094E-2
