"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.707833200E-2	-6.125625968E-1	9.646664619E0	1.331007600E0
4.548135300E-2	-6.885347366E-1	9.716055870E0	1.361516118E0
5.388437400E-2	-8.057830334E-1	9.661619186E0	1.222134113E0
6.228739500E-2	-8.656035662E-1	9.665208817E0	1.249651670E0
7.069041600E-2	-7.160521746E-1	9.707083702E0	1.268195987E0
7.909343600E-2	-5.946164131E-1	9.692128181E0	1.298106313E0
8.749645700E-2	-6.179464459E-1	9.665208817E0	1.362114310E0
9.589947800E-2	-6.586244106E-1	9.671191216E0	1.346560955E0
1.043024990E-1	-6.717849374E-1	9.707083702E0	1.350150228E0
1.127055200E-1	-7.034898400E-1	9.749555588E0	1.353141189E0
1.211085410E-1	-7.633104324E-1	9.712467194E0	1.299302697E0
1.295115610E-1	-7.435696125E-1	9.682557106E0	1.210170031E0
1.379145820E-1	-6.664010882E-1	9.728020668E0	1.236491084E0
1.463176030E-1	-6.622136831E-1	9.781859398E0	1.275374413E0
1.547206240E-1	-6.903293133E-1	9.739984512E0	1.269392371E0
1.631236450E-1	-7.268198729E-1	9.653842926E0	1.219741344E0
1.715266660E-1	-7.010970116E-1	9.624530792E0	1.232303619E0
1.799296860E-1	-6.394818425E-1	9.621540070E0	1.307079315E0
1.883327070E-1	-6.478567123E-1	9.634700775E0	1.333998680E0
1.967357280E-1	-6.520441771E-1	9.644271851E0	1.363310695E0
2.051387490E-1	-6.741777658E-1	9.675378799E0	1.361516118E0
2.135417700E-1	-7.220342159E-1	9.691530228E0	1.350748420E0
2.219447910E-1	-7.615157962E-1	9.694520950E0	1.328016520E0
2.303478110E-1	-7.447660565E-1	9.645467758E0	1.306481123E0
2.387508320E-1	-6.699903607E-1	9.577870369E0	1.302293777E0
2.471538530E-1	-5.850451589E-1	9.597013474E0	1.303490162E0
2.555568740E-1	-6.131607890E-1	9.659825325E0	1.331007600E0
2.639598950E-1	-6.723831892E-1	9.673583984E0	1.336989641E0
