"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3.357176800E-2	8.246437646E-3	8.551862091E-3	-1.832541823E-2
4.197478900E-2	1.985253533E-3	1.389677543E-2	-1.206423342E-2
5.037781000E-2	-1.221694518E-3	2.076880634E-2	-1.145338640E-2
5.878083100E-2	3.206948051E-3	3.558185324E-2	-1.343864016E-2
6.718385100E-2	6.261184346E-3	3.695625812E-2	-1.649287529E-2
7.558687200E-2	6.872031838E-3	3.298575059E-2	-1.756185852E-2
8.398989300E-2	1.985253533E-3	2.855710872E-2	-1.313321572E-2
9.239291400E-2	-2.901524538E-3	2.794626169E-2	-1.099525020E-2
1.007959350E-1	-3.817795310E-3	3.008422814E-2	-8.093725890E-3
1.091989560E-1	3.359660041E-3	3.176405653E-2	-5.955760833E-3
1.176019760E-1	1.053711493E-2	3.451287001E-2	-6.261184346E-3
1.260049970E-1	9.620844387E-3	4.184303805E-2	-9.468132630E-3
1.344080180E-1	5.192201585E-3	5.512896553E-2	-8.857285604E-3
1.428110390E-1	1.068982761E-3	5.299099907E-2	-5.650337320E-3
1.512140600E-1	-3.206948051E-3	4.382828996E-2	-6.108472589E-3
1.596170810E-1	-7.177455351E-3	1.725643501E-2	-6.566607859E-3
1.680201010E-1	-7.482878864E-3	-1.130067464E-2	-3.359660041E-3
1.764231220E-1	-8.857285604E-3	-1.939439960E-2	6.108472589E-3
1.848261430E-1	-6.566607859E-3	-2.779355086E-2	7.177455351E-3
1.932291640E-1	9.162708884E-4	-2.305948362E-2	5.039489828E-3
2.016321850E-1	9.926267900E-3	-4.886778072E-3	9.162708884E-4
2.100352060E-1	1.298050396E-2	5.192201585E-3	2.596100792E-3
2.184382260E-1	1.084253844E-2	9.620844387E-3	-1.374406274E-3
2.268412470E-1	6.413896102E-3	7.330167107E-3	-6.108472589E-3
2.352442680E-1	2.901524538E-3	3.206948051E-3	-8.704573847E-3
2.436472890E-1	-1.527118147E-3	1.634016447E-2	-8.551862091E-3
2.520503100E-1	-4.886778072E-3	1.007897966E-2	-3.817795310E-3
2.604533310E-1	-9.009997360E-3	8.551862091E-3	0.000000000E0
2.688563510E-1	-9.926267900E-3	-1.985253533E-3	6.413896102E-3
2.772593720E-1	-7.941014133E-3	-6.413896102E-3	1.267508045E-2
2.856623930E-1	-5.803049076E-3	-1.404948719E-2	1.328592747E-2
2.940654140E-1	-5.039489828E-3	-2.580829710E-2	7.177455351E-3
