"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
4.199861100E-2	5.497625098E-3	3.268032894E-2	-1.191152167E-2
5.040163200E-2	4.581354558E-3	2.458660305E-2	-3.817795310E-3
5.880465300E-2	1.068982761E-3	1.114796288E-2	9.926267900E-3
6.720767400E-2	7.635590737E-4	1.527118147E-3	1.817270555E-2
7.561069500E-2	4.123218823E-3	-3.817795310E-3	1.710372418E-2
8.401371600E-2	2.290677279E-3	-1.374406368E-2	1.282779220E-2
9.241673600E-2	4.581354442E-4	-6.413896102E-3	1.389677543E-2
1.008197570E-1	6.261184346E-3	2.458660305E-2	1.481304597E-2
1.092227780E-1	5.955760833E-3	5.085303262E-2	1.695101149E-2
1.176257990E-1	7.330167107E-3	4.474456236E-2	1.954711229E-2
1.260288200E-1	8.093725890E-3	2.031067200E-2	2.076880634E-2
1.344318410E-1	9.162709117E-3	-2.748812549E-3	1.954711229E-2
1.428348610E-1	8.246437646E-3	-1.145338640E-2	1.832541823E-2
1.512378820E-1	5.497625098E-3	-1.313321572E-2	1.817270555E-2
1.596409030E-1	6.872031838E-3	-4.734066315E-3	1.832541823E-2
1.680439240E-1	6.719320081E-3	1.328592747E-2	1.832541823E-2
1.764469450E-1	7.941014133E-3	3.558185324E-2	1.557660475E-2
1.848499660E-1	7.941014133E-3	4.825693369E-2	1.267508045E-2
1.932529860E-1	9.926267900E-3	4.474456236E-2	1.007897966E-2
2.016560070E-1	1.023169141E-2	3.206948191E-2	1.206423342E-2
2.100590280E-1	8.399149403E-3	8.704573847E-3	1.359135192E-2
2.184620490E-1	5.192201585E-3	-1.343864016E-2	1.588202827E-2
2.268650700E-1	6.719320081E-3	-2.794626169E-2	1.695101149E-2
2.352680910E-1	8.857285604E-3	-2.672456764E-2	1.710372418E-2
2.436711110E-1	9.773556143E-3	-1.664558798E-2	1.786728203E-2
2.520741320E-1	1.160609815E-2	-7.177455351E-3	1.572931744E-2
2.604771530E-1	1.160609815E-2	-2.901524538E-3	1.466033421E-2
2.688801740E-1	1.160609815E-2	1.832541777E-3	1.328592747E-2
