"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.550038000E-3	-2.008176327E0	9.129815102E0	-1.588834286E0
1.295305800E-2	-1.789233088E0	9.645467758E0	-4.857429862E-1
2.135607900E-2	-1.188036442E0	9.934401512E0	-4.737788737E-1
2.975910000E-2	-1.058225870E0	9.819545746E0	-3.541377485E-1
3.816212100E-2	-1.243669510E0	9.574879646E0	-4.169493318E-1
4.656514200E-2	-1.391426325E0	9.646066666E0	-4.630111754E-1
5.496816300E-2	-1.523629785E0	9.710074425E0	-4.965106845E-1
6.337118300E-2	-1.594816327E0	9.655039787E0	-4.163511395E-1
7.177420400E-2	-1.488335729E0	9.621540070E0	-3.505485058E-1
8.017722500E-2	-1.369890928E0	9.647860527E0	-4.360919297E-1
8.858024600E-2	-1.359721422E0	9.688538551E0	-4.540380836E-1
9.698326700E-2	-1.405185103E0	9.683753014E0	-4.426721931E-1
1.053862880E-1	-1.411167145E0	9.664012909E0	-4.259224236E-1
1.137893080E-1	-1.407577872E0	9.672985077E0	-4.606183469E-1
1.221923290E-1	-1.400997639E0	9.682557106E0	-4.660021961E-1
1.305953500E-1	-1.393221021E0	9.686744690E0	-4.701896608E-1
1.389983710E-1	-1.394417405E0	9.675976753E0	-4.857429862E-1
1.474013920E-1	-1.422533035E0	9.667601585E0	-4.755735099E-1
1.558044130E-1	-1.453639746E0	9.663414001E0	-4.528416991E-1
1.642074330E-1	-1.459621787E0	9.657432556E0	-4.492524564E-1
1.726104540E-1	-1.442273855E0	9.656833649E0	-4.456632137E-1
1.810134750E-1	-1.424327731E0	9.641280174E0	-4.199403822E-1
1.894164960E-1	-1.416550994E0	9.662218094E0	-3.960121572E-1
1.978195170E-1	-1.427916884E0	9.655637741E0	-4.139583111E-1
2.062225380E-1	-1.444068432E0	9.660423279E0	-4.319044948E-1
2.146255580E-1	-1.444068432E0	9.686744690E0	-4.582255483E-1
2.230285790E-1	-1.427318692E0	9.674181938E0	-4.755735099E-1
2.314316000E-1	-1.398604870E0	9.656833649E0	-4.666004181E-1
2.398346210E-1	-1.390828133E0	9.669994354E0	-4.474578202E-1
2.482376420E-1	-1.400997639E0	9.678369522E0	-4.474578202E-1
2.566406630E-1	-1.411167145E0	9.686145782E0	-4.408775866E-1
2.650436830E-1	-1.423131227E0	9.663414001E0	-4.474578202E-1
2.734467040E-1	-1.433300734E0	9.634700775E0	-4.666004181E-1
2.818497250E-1	-1.421934843E0	9.643074989E0	-4.666004181E-1
2.902527460E-1	-1.393221021E0	9.647262573E0	-4.737788737E-1
2.986557670E-1	-1.385444283E0	9.649655342E0	-4.773681164E-1
3.070587880E-1	-1.377069473E0	9.673583984E0	-4.713860750E-1
3.154618080E-1	-1.354337573E0	9.698708534E0	-4.606183469E-1
3.238648290E-1	-1.351944804E0	9.707083702E0	-4.731806815E-1
3.322678500E-1	-1.351346612E0	9.695118904E0	-4.695914388E-1
3.406708710E-1	-1.334596872E0	9.666405678E0	-4.983053207E-1
3.490738920E-1	-1.337587833E0	9.658030510E0	-5.006981492E-1
3.574769130E-1	-1.354935765E0	9.678967476E0	-5.018945336E-1
3.658799330E-1	-1.348953724E0	9.689137459E0	-4.893322289E-1
3.742829540E-1	-1.321436286E0	9.698708534E0	-4.803591371E-1
3.826859750E-1	-1.311266780E0	9.686744690E0	-4.540380836E-1
3.910889960E-1	-1.304088354E0	9.688538551E0	-4.492524564E-1
3.994920170E-1	-1.319641709E0	9.701699257E0	-4.737788737E-1
4.078950380E-1	-1.375274777E0	9.691530228E0	-4.666004181E-1
4.162980580E-1	-1.399203062E0	9.689735413E0	-4.259224236E-1
4.247010790E-1	-1.406381488E0	9.701699257E0	-4.025924206E-1
4.331041000E-1	-1.406381488E0	9.671191216E0	-3.619144261E-1
4.415071210E-1	-1.436291814E0	9.637093544E0	-3.349951804E-1
4.499101420E-1	-1.459621787E0	9.674779892E0	-3.481557071E-1
4.583131630E-1	-1.463809252E0	9.710074425E0	-3.900300860E-1
4.667161830E-1	-1.465603828E0	9.669994354E0	-4.121637046E-1
4.751192040E-1	-1.458425403E0	9.626923561E0	-4.307080805E-1
4.835222250E-1	-1.449452281E0	9.652048111E0	-4.348955154E-1
4.919252460E-1	-1.433300734E0	9.672985077E0	-4.636093974E-1
5.003282670E-1	-1.379462242E0	9.690931320E0	-4.755735099E-1
5.087312880E-1	-1.317847013E0	9.702896118E0	-4.821537733E-1
5.171343080E-1	-1.296909928E0	9.693922997E0	-4.558327198E-1
5.255373290E-1	-1.362712502E0	9.677771568E0	-4.719842672E-1
5.339403500E-1	-1.406979680E0	9.662218094E0	-4.833501875E-1
5.423433710E-1	-1.420738459E0	9.649057388E0	-5.072783828E-1
5.507463920E-1	-1.402194023E0	9.716055870E0	-4.797609448E-1
5.591494130E-1	-1.357328653E0	9.754341125E0	-4.719842672E-1
5.675524330E-1	-1.298106313E0	9.716055870E0	-4.779663086E-1
5.759554540E-1	-1.286142230E0	9.685547829E0	-4.737788737E-1
5.843584750E-1	-1.288534999E0	9.688538551E0	-4.510470629E-1
5.927614960E-1	-1.301097274E0	9.672387123E0	-4.630111754E-1
6.011645170E-1	-1.308874011E0	9.664012909E0	-4.761717021E-1
6.095675380E-1	-1.314856052E0	9.651450157E0	-4.893322289E-1
6.179705580E-1	-1.307079315E0	9.686145782E0	-4.929214716E-1
6.263735790E-1	-1.296311617E0	9.748359680E0	-4.833501875E-1
6.347766000E-1	-1.279561877E0	9.722636223E0	-4.929214716E-1
6.431796210E-1	-1.295115232E0	9.636494637E0	-5.090730190E-1
6.515826420E-1	-1.314257860E0	9.611370087E0	-5.808576941E-1
6.599856630E-1	-1.305882931E0	9.683753014E0	-6.526423693E-1
6.683886830E-1	-1.185643673E0	9.734002113E0	-6.693921089E-1
6.767917040E-1	-1.068395257E0	9.718449593E0	-5.784648657E-1
6.851947250E-1	-1.046859860E0	9.734002113E0	-4.677968323E-1
6.935977460E-1	-1.123430252E0	9.757930756E0	-4.510470629E-1
7.020007670E-1	-1.200598717E0	9.740582466E0	-4.977070987E-1
7.104037880E-1	-1.256830096E0	9.688538551E0	-5.599204898E-1
7.188068080E-1	-1.249053478E0	9.656833649E0	-5.748756528E-1
7.272098290E-1	-1.209571838E0	9.677771568E0	-5.545366406E-1
7.356128500E-1	-1.219741344E0	9.727422714E0	-5.252245665E-1
7.440158710E-1	-1.259821177E0	9.726225853E0	-5.246263742E-1
7.524188920E-1	-1.281356573E0	9.669396400E0	-5.389832854E-1
7.608219130E-1	-1.271785259E0	9.642477036E0	-5.144568682E-1
7.692249330E-1	-1.281954765E0	9.704689980E0	-4.911268353E-1
7.776279540E-1	-1.281356573E0	9.736394882E0	-4.612165689E-1
7.860309750E-1	-1.314257860E0	9.691530228E0	-4.660021961E-1
