"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
5.182907600E-2	-2.932066843E-2	1.130067464E-2	-4.581354442E-4
6.023209700E-2	-2.947338112E-2	2.702999115E-2	1.679830020E-3
6.863511800E-2	-2.779355086E-2	3.176405653E-2	7.635590737E-4
7.703813900E-2	-2.733541466E-2	2.947338112E-2	3.054236295E-4
8.544116000E-2	-2.733541466E-2	2.855710872E-2	1.985253533E-3
9.384418100E-2	-3.268032894E-2	2.519745007E-2	1.527118147E-3
1.022472010E-1	-3.603998944E-2	3.115320951E-2	3.054236295E-3
1.106502220E-1	-2.932066843E-2	4.398100078E-2	3.512371797E-3
1.190532430E-1	-2.199050039E-2	4.810422286E-2	7.941014133E-3
1.274562640E-1	-1.893626526E-2	4.199574888E-2	9.468132630E-3
1.358592850E-1	-2.046338283E-2	3.313846514E-2	9.009997360E-3
1.442623060E-1	-2.229592577E-2	2.489202656E-2	1.053711493E-2
1.526653260E-1	-2.031067200E-2	2.244863659E-2	1.298050396E-2
1.610683470E-1	-2.000524849E-2	2.367033064E-2	1.359135192E-2
1.694713680E-1	-1.863084175E-2	2.764083818E-2	1.847812906E-2
1.778743890E-1	-1.542389300E-2	2.855710872E-2	2.489202656E-2
1.862774100E-1	-1.557660475E-2	2.947338112E-2	2.932066843E-2
1.946804310E-1	-2.244863659E-2	4.337015375E-2	3.252761811E-2
2.030834510E-1	-2.153236605E-2	6.765133142E-2	3.542914242E-2
2.114864720E-1	-1.756185852E-2	8.460234851E-2	4.184303805E-2
2.198894930E-1	-1.527118124E-2	8.658760041E-2	4.810422286E-2
2.282925140E-1	-1.389677543E-2	7.925742865E-2	5.665608495E-2
2.366955350E-1	-1.374406368E-2	8.231166750E-2	6.810946763E-2
2.450985560E-1	-1.099525020E-2	1.117850468E-1	7.284353673E-2
2.535015760E-1	-4.734066315E-3	1.517955512E-1	7.681404054E-2
2.619045970E-1	4.581354442E-4	1.924168915E-1	8.704573661E-2
2.703076180E-1	6.566607859E-3	2.124221325E-1	9.773556143E-2
2.787106390E-1	9.468132630E-3	2.209739983E-1	9.956810623E-2
2.871136600E-1	1.099525020E-2	2.266243398E-1	1.143811494E-1
2.955166810E-1	1.481304597E-2	2.481566966E-1	1.349972486E-1
3.039197010E-1	1.099525020E-2	2.956500649E-1	1.322484314E-1
3.123227220E-1	1.572931744E-2	3.423798978E-1	1.337755471E-1
3.207257430E-1	1.603474095E-2	3.683409095E-1	1.441599578E-1
3.291287640E-1	1.038440317E-2	3.689517379E-1	1.521009654E-1
3.375317850E-1	9.162708884E-4	3.541387022E-1	1.481304616E-1
3.459348060E-1	-2.901524538E-3	3.426853120E-1	1.462979168E-1
3.543378260E-1	4.275931045E-3	3.448232710E-1	1.511846930E-1
3.627408470E-1	7.635590620E-3	3.336753249E-1	1.606528312E-1
3.711438680E-1	-1.985253533E-3	3.138227761E-1	1.653869003E-1
3.795468890E-1	-7.941014133E-3	3.005368412E-1	1.583621502E-1
3.879499100E-1	-5.497625098E-3	3.009949923E-1	1.521009654E-1
3.963529310E-1	-4.123218823E-3	2.999260128E-1	1.502684206E-1
4.047559510E-1	-6.719320081E-3	2.867927849E-1	1.545443535E-1
4.131589720E-1	-1.420219894E-2	2.547233105E-1	1.601946950E-1
4.215619930E-1	-2.351761982E-2	2.218902707E-1	1.589729935E-1
4.299650140E-1	-2.718270384E-2	1.956238300E-1	1.562241912E-1
4.383680350E-1	-2.535016090E-2	1.875301152E-1	1.627907902E-1
4.467710560E-1	-2.535016090E-2	1.919587553E-1	1.757712960E-1
4.551740760E-1	-2.626643144E-2	1.904316396E-1	1.831014603E-1
4.635770970E-1	-1.801999472E-2	1.983726472E-1	1.751604527E-1
4.719801180E-1	-7.788302377E-3	2.063136548E-1	1.684411317E-1
4.803831390E-1	-4.734066315E-3	1.924168915E-1	1.832541823E-1
4.887861600E-1	-1.374406368E-2	1.592784226E-1	2.002051920E-1
4.971891810E-1	-2.886253223E-2	1.259872466E-1	1.918060333E-1
5.055922010E-1	-3.833066672E-2	1.159082651E-1	1.780619770E-1
5.139952220E-1	-4.459185153E-2	1.143811494E-1	1.879882365E-1
5.223982430E-1	-5.833591148E-2	1.229330078E-1	1.916533262E-1
5.308012640E-1	-6.719319522E-2	1.307213157E-1	1.809635013E-1
5.392042850E-1	-7.803573459E-2	1.346918195E-1	1.748550236E-1
5.476073060E-1	-8.383878320E-2	1.353026628E-1	1.743968874E-1
5.560103260E-1	-7.941014320E-2	1.301104724E-1	1.795890927E-1
5.644133470E-1	-7.314895838E-2	1.174353883E-1	1.870719790E-1
5.728163680E-1	-6.856760383E-2	1.068982705E-1	1.852394342E-1
5.812193890E-1	-6.719319522E-2	8.231166750E-2	1.936385781E-1
5.896224100E-1	-6.413896382E-2	4.016320780E-2	2.081461996E-1
5.980254310E-1	-6.520794332E-2	-1.527118147E-4	2.066190839E-1
6.064284510E-1	-7.009471953E-2	-1.466033421E-2	1.973036677E-1
6.148314720E-1	-6.444438547E-2	-5.955760833E-3	1.947075576E-1
6.232344930E-1	-5.787777901E-2	1.023169141E-2	1.968455315E-1
6.316375140E-1	-5.360184610E-2	1.756185852E-2	1.904316396E-1
6.400405350E-1	-3.787253052E-2	1.145338640E-2	1.711899489E-1
6.484435560E-1	-2.611372061E-2	-9.009997360E-3	1.611109674E-1
6.568465760E-1	-3.161134571E-2	-3.206948191E-2	1.554606259E-1
6.652495970E-1	-3.497100621E-2	-5.650337040E-2	1.388150454E-1
6.736526180E-1	-3.771981969E-2	-6.536065787E-2	1.191152185E-1
6.820556390E-1	-3.695625812E-2	-6.062658876E-2	1.035386100E-1
6.904586600E-1	-2.428117767E-2	-4.459185153E-2	8.353336155E-2
6.988616810E-1	-1.634016447E-2	-3.909422457E-2	6.413896382E-2
7.072647010E-1	-1.114796288E-2	-6.856760383E-2	5.176930502E-2
7.156677220E-1	-5.803049076E-3	-8.078455180E-2	3.176405653E-2
7.240707430E-1	-7.635590620E-3	-7.024743408E-2	1.878355257E-2
7.324737640E-1	-1.511846948E-2	-5.299099907E-2	1.160609815E-2
7.408767850E-1	-1.878355257E-2	-2.473931387E-2	1.985253533E-3
7.492798060E-1	-2.336490713E-2	1.664558798E-2	6.108472589E-4
7.576828260E-1	-2.443389036E-2	7.803573459E-2	8.704573847E-3
7.660858470E-1	-2.550287358E-2	1.307213157E-1	2.321219631E-2
7.744888680E-1	-2.214321308E-2	1.502684206E-1	3.848337755E-2
7.828918890E-1	-1.618745178E-2	1.829487532E-1	4.703523964E-2
7.912949100E-1	-8.857285604E-3	2.003578991E-1	6.123743951E-2
7.996979310E-1	5.344913341E-3	1.812689304E-1	7.253811508E-2
8.081009510E-1	1.740914769E-2	1.437018216E-1	7.986827940E-2
8.165039720E-1	1.801999472E-2	9.743013978E-2	9.330692142E-2
8.249069930E-1	1.618745178E-2	5.268557742E-2	1.049130186E-1
8.333100140E-1	2.275406010E-2	2.870982140E-2	1.169772521E-1
8.417130350E-1	3.206948191E-2	3.115320951E-2	1.360662282E-1
8.501160560E-1	4.352286831E-2	4.077405483E-2	1.469087601E-1
8.585190760E-1	5.604523420E-2	4.535540938E-2	1.449235082E-1
8.669220970E-1	6.688777357E-2	4.382828996E-2	1.427855492E-1
8.753251180E-1	6.826218218E-2	2.550287358E-2	1.501157135E-1
8.837281390E-1	6.887302548E-2	9.926267900E-3	1.481304616E-1
8.921311600E-1	5.848862603E-2	-5.650337320E-3	1.537808031E-1
9.005341810E-1	4.932591692E-2	-3.817795217E-2	1.559187621E-1
9.089372010E-1	4.352286831E-2	-3.833066672E-2	1.389677525E-1
9.173402220E-1	4.352286831E-2	-2.092151903E-2	1.253764033E-1
9.257432430E-1	5.207473040E-2	3.817795310E-3	1.094943732E-1
9.341462640E-1	5.741964281E-2	2.214321308E-2	9.284878522E-2
9.425492850E-1	5.589252338E-2	8.857285604E-3	8.032641560E-2
9.509523060E-1	5.482354015E-2	-1.649287529E-2	6.459710002E-2
9.593553260E-1	5.726693198E-2	-4.581354558E-2	5.314370990E-2
9.677583470E-1	5.726693198E-2	-6.765133142E-2	4.382828996E-2
9.761613680E-1	6.306997687E-2	-7.711946964E-2	3.054236248E-2
9.845643890E-1	6.765133142E-2	-7.207997888E-2	2.275406010E-2
9.929674100E-1	6.978929788E-2	-6.474980712E-2	2.275406010E-2
1.001370431E0	7.330167294E-2	-7.085828483E-2	2.580829710E-2
1.009773451E0	8.139539510E-2	-8.139539510E-2	2.733541466E-2
1.018176472E0	9.483403713E-2	-8.444963396E-2	3.176405653E-2
1.026579493E0	1.053711548E-1	-7.788302749E-2	4.352286831E-2
1.034982514E0	1.137702987E-1	-7.834116369E-2	5.436540768E-2
1.043385535E0	1.191152185E-1	-8.490777016E-2	6.200099736E-2
1.051788556E0	1.235438585E-1	-1.006370857E-1	6.841489673E-2
1.060191576E0	1.265980899E-1	-1.102579311E-1	6.795676053E-2
1.068594597E0	1.333174109E-1	-1.101052165E-1	6.337540597E-2
1.076997618E0	1.412584335E-1	-1.105633527E-1	5.253286287E-2
1.085400639E0	1.440072358E-1	-1.360662282E-1	4.306473210E-2
1.093803660E0	1.467560530E-1	-1.780619770E-1	3.649812192E-2
1.102206681E0	1.534753740E-1	-2.023431510E-1	3.771981969E-2
1.110609701E0	1.565296054E-1	-2.072299272E-1	5.161659420E-2
1.119012722E0	1.753131598E-1	-1.954711229E-1	7.284353673E-2
1.127415743E0	2.058555335E-1	-1.824906170E-1	1.023169160E-1
1.135818764E0	2.368560284E-1	-1.824906170E-1	1.452289373E-1
1.144221785E0	2.615953386E-1	-1.864611208E-1	2.075353563E-1
1.152624806E0	2.881672084E-1	-1.534753740E-1	2.916795611E-1
1.161027826E0	3.086305857E-1	-7.696675509E-2	3.894151151E-1
1.169430847E0	3.242071867E-1	1.969982497E-2	5.030327439E-1
1.177833868E0	3.509317636E-1	1.333174109E-1	6.365028620E-1
1.186236889E0	3.817795515E-1	2.626643181E-1	7.777612805E-1
1.194639910E0	3.968980014E-1	3.749074936E-1	9.220739603E-1
1.203042931E0	3.906368315E-1	4.451549351E-1	1.065012217E0
1.211445951E0	3.574983478E-1	4.503471553E-1	1.196191669E0
1.219848972E0	3.122956753E-1	4.211791754E-1	1.303089857E0
1.228251993E0	2.464768738E-1	3.744493723E-1	1.378834963E0
1.236655014E0	1.812689304E-1	3.257342875E-1	1.391204596E0
1.245058035E0	5.726693198E-2	2.327328026E-1	1.335312128E0
1.253461056E0	-1.085781008E-1	-5.971032009E-2	1.198024154E0
1.261864076E0	-1.064401343E-1	-5.306735635E-1	1.034469843E0
1.270267097E0	-8.994726092E-2	-8.825215697E-1	9.312366247E-1
1.278670118E0	-1.869192570E-1	-1.041647315E0	7.751652002E-1
1.287073139E0	-2.632751763E-1	-1.053864241E0	5.822901726E-1
1.295476160E0	-2.874036431E-1	-8.718317747E-1	3.602471650E-1
1.303879181E0	-3.057290614E-1	-6.474980712E-1	1.169772521E-1
1.312282201E0	-3.110739589E-1	-4.547757804E-1	-1.527118087E-1
1.320685222E0	-3.144336343E-1	-2.628170252E-1	-3.796415627E-1
1.329088243E0	-4.019374847E-1	-1.087308154E-1	-6.342121959E-1
1.337491264E0	-4.181249440E-1	1.068982761E-3	-8.890882134E-1
1.345894285E0	-3.901786804E-1	4.871506989E-2	-1.044548869E0
1.354297306E0	-4.034646153E-1	5.696150661E-2	-1.167939901E0
1.362700326E0	-4.456130862E-1	2.993151546E-2	-1.305838704E0
1.371103347E0	-4.561502039E-1	-2.000524849E-2	-1.443737507E0
1.379506368E0	-4.685198367E-1	-1.305686086E-1	-1.585912228E0
1.387909389E0	-4.816530645E-1	-3.358132839E-1	-1.723658204E0
1.396312410E0	-4.555393457E-1	-6.242858768E-1	-1.803373814E0
1.404715431E0	-5.045598149E-1	-9.345963001E-1	-1.674637794E0
1.413118451E0	-4.810422063E-1	-1.396549582E0	-9.506310225E-1
1.421521472E0	-3.552076817E-1	-2.472404242E0	1.185043678E-1
1.429924493E0	-1.988307834E-1	-2.278918505E0	4.115583301E-1
1.438327514E0	2.113531530E-1	-2.133078575E0	1.373337388E0
1.446730535E0	-2.319692522E-1	-1.788560748E0	1.528950691E0
1.455133556E0	-3.243598938E-1	2.951919436E-1	-4.118637741E-1
1.463536576E0	9.620844573E-2	2.169271231E0	-1.532310367E0
1.471939597E0	1.699682474E-1	2.695668936E0	-8.260182142E-1
1.480342618E0	1.707318127E-1	2.593046665E0	3.086305857E-1
1.488745639E0	1.621799469E-1	1.729003191E0	5.645755529E-1
1.497148660E0	-9.773556143E-3	1.313321572E-2	3.486410677E-1
1.505551681E0	-9.254335612E-2	-1.339282632E0	1.740914732E-1
1.513954701E0	-8.246438205E-2	-1.493216157E0	1.041494608E-1
1.522357722E0	-7.192726433E-2	-9.571976662E-1	1.423274130E-1
1.530760743E0	-3.985778242E-2	-2.744231224E-1	1.899735034E-1
1.539163764E0	1.252236869E-2	2.098260373E-1	1.256818175E-1
1.547566785E0	4.504998401E-2	3.964398801E-1	1.878355257E-2
1.555969806E0	6.368082762E-2	4.227063060E-1	-3.298575059E-2
1.564372826E0	5.512896553E-2	3.419217467E-1	3.206948051E-3
1.572775847E0	2.825168520E-2	1.473668963E-1	3.542914242E-2
1.581178868E0	7.941014133E-3	-9.559759498E-2	2.046338283E-2
1.589581889E0	-1.068982668E-2	-3.188622594E-1	-4.123218823E-3
1.597984910E0	-1.114796288E-2	-4.292729199E-1	-2.137965336E-2
1.606387931E0	3.665083554E-3	-4.272876680E-1	-3.100049868E-2
1.614790951E0	1.771457121E-2	-3.640649617E-1	-2.550287358E-2
1.623193972E0	2.458660305E-2	-2.916795611E-1	-1.420219894E-2
1.631596993E0	3.665083647E-2	-2.246390730E-1	3.206948051E-3
1.640000014E0	4.306473210E-2	-1.750077456E-1	3.344388679E-2
1.648403035E0	4.886778072E-2	-1.725643575E-1	7.085828483E-2
1.656806056E0	4.795150831E-2	-2.050919682E-1	1.044548824E-1
1.665209076E0	5.070032179E-2	-2.429644912E-1	1.380514801E-1
1.673612097E0	5.635065958E-2	-2.541124523E-1	1.710372269E-1
